,City,State,Population,lat,lon
0,Marysville,Washington,63269,48.0517637,-122.1770818
1,Perris,California,72326,33.7825194,-117.2286478
2,Cleveland,Ohio,390113,41.49932,-81.6943605
3,Worcester,Massachusetts,182544,42.262593200000005,-71.8022934
4,Columbia,South Carolina,133358,34.0007104,-81.0348144
5,Waterbury,Connecticut,109676,41.558152500000006,-73.0514965
6,Eagan,Minnesota,65453,44.804132200000005,-93.1668858
7,Southfield,Michigan,73006,42.4733688,-83.2218731
8,Lafayette,Louisiana,124276,30.2240897,-92.0198427
9,Boise City,Idaho,214237,43.6187102,-116.2146068
10,Elkhart,Indiana,51265,41.6819935,-85.9766671
11,Buena Park,California,82882,33.8675143,-117.9981181
12,Marietta,Georgia,59089,33.952602,-84.5499327
13,Parker,Colorado,48608,39.5186002,-104.7613633
14,West Palm Beach,Florida,102436,26.7153424,-80.0533746
15,Salem,Massachusetts,42544,42.51954,-70.8967155
16,Aurora,Illinois,199963,41.7605849,-88.3200715
17,Leesburg,Virginia,47673,39.1156615,-77.5636015
18,Doral,Florida,50213,25.8195424,-80.3553302
19,Westminster,California,91739,33.7513419,-117.9939921
20,Lubbock,Texas,239538,33.5778631,-101.8551665
21,Overland Park,Kansas,181260,38.9822282,-94.6707917
22,Jackson,Mississippi,172638,32.298757300000005,-90.1848103
23,Gastonia,North Carolina,73209,35.262082,-81.1873005
24,Daytona Beach,Florida,62316,29.2108147,-81.02283309999999
25,Kansas City,Missouri,467007,39.0997265,-94.5785667
26,Rancho Palos Verdes,California,42448,33.7444613,-118.3870173
27,Burnsville,Minnesota,61434,44.7677424,-93.2777226
28,Rowlett,Texas,58043,32.9029017,-96.56388
29,Roswell,New Mexico,48611,33.3942655,-104.5230242
30,Montgomery,Alabama,201332,32.366805199999995,-86.2999689
31,Logan,Utah,48913,41.7369803,-111.8338359
32,Woburn,Massachusetts,39083,42.4792618,-71.1522765
33,Allentown,Pennsylvania,118577,40.6084305,-75.4901833
34,Mount Pleasant,South Carolina,74885,32.8323225,-79.82842579999999
35,Columbus,Georgia,202824,32.4609764,-84.9877094
36,Buffalo,New York,258959,42.8864468,-78.8783689
37,New Berlin,Wisconsin,39834,42.9764027,-88.10842240000001
38,North Richland Hills,Texas,67317,32.8342952,-97.2289029
39,Lima,Ohio,38355,40.742551,-84.1052256
40,Sacramento,California,479686,38.5815719,-121.4943996
41,Fort Smith,Arkansas,87650,35.385924200000005,-94.3985475
42,East Providence,Rhode Island,47149,41.813711600000005,-71.37005450000001
43,Urbandale,Iowa,41776,41.6266555,-93.7121656
44,Mount Vernon,New York,68224,40.9125992,-73.8370786
45,Lakewood,Colorado,147214,39.7047095,-105.08137340000002
46,Henderson,Nevada,270811,36.0395247,-114.9817213
47,Covina,California,48508,34.0900091,-117.8903397
48,Stamford,Connecticut,126456,41.0534302,-73.53873409999999
49,Bloomington,Indiana,82575,39.165325,-86.5263857
50,Kingsport,Tennessee,52962,36.548434,-82.5618186
