#,Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
1,Bulbasaur,45,49,49,65,65,45,318
2,Ivysaur,60,62,63,80,80,60,405
3,Venusaur,80,82,83,100,100,80,525
4,Charmander,39,52,43,60,50,65,309
5,Charmeleon,58,64,58,80,65,80,405
6,Charizard,78,84,78,109,85,100,534
7,Squirtle,44,48,65,50,64,43,314
8,Wartortle,59,63,80,65,80,58,405
9,Blastoise,79,83,100,85,105,78,530
10,Caterpie,45,30,35,20,20,45,195
11,Metapod,50,20,55,25,50,30,230
12,Butterfree,85,45,50,110,110,70,470
13,Weedle,40,35,30,20,20,50,195
14,Kakuna,45,45,55,25,50,35,255
15,Beedrill,65,110,70,45,80,115,485
16,Pidgey,40,45,40,35,35,56,251
17,Pidgeotto,63,60,55,50,50,71,349
18,Pidgeot,83,80,75,95,70,120,523
19,Rattata,30,56,35,25,35,72,253
20,Raticate,75,110,60,50,70,97,462
21,Spearow,40,60,30,31,31,70,262
22,Fearow,65,90,65,61,61,100,442
23,Ekans,45,70,44,40,54,55,308
24,Arbok,85,110,75,65,79,80,494
25,Pikachu,60,90,55,110,80,110,505
26,Raichu,60,90,55,110,80,110,505
27,Sandshrew,50,75,85,20,30,40,300
28,Sandslash,95,100,110,45,75,65,490
29,Nidoran,55,47,52,40,40,41,275
30,Nidorina,70,62,67,55,55,56,365
31,Nidoqueen,90,92,87,75,85,76,505
32,Nidoran,46,57,40,40,40,50,273
33,Nidorino,61,72,57,55,55,65,365
34,Nidoking,81,102,77,85,75,85,505
35,Clefairy,70,45,48,60,65,35,323
36,Clefable,95,70,73,95,90,60,483
37,Vulpix,38,41,40,50,65,65,299
38,Ninetales,73,76,75,81,100,100,505
39,Jigglypuff,115,45,20,45,25,20,270
40,Wigglytuff,140,70,45,85,50,45,435
41,Zubat,40,45,35,30,40,55,245
42,Golbat,75,80,70,65,75,90,455
43,Oddish,45,50,55,75,65,30,320
44,Gloom,60,65,70,85,75,40,395
45,Vileplume,75,80,85,110,110,50,510
46,Paras,35,70,55,45,55,25,285
47,Parasect,60,95,80,60,80,30,405
48,Venonat,60,55,50,40,55,45,305
49,Venomoth,70,65,60,110,75,90,470
50,Diglett,10,55,25,35,45,95,265
51,Dugtrio,35,80,50,50,70,120,405
52,Meowth,40,45,35,40,40,90,290
53,Persian,65,70,60,65,65,115,440
54,Psyduck,50,52,48,65,50,55,320
55,Golduck,80,82,78,95,80,85,500
56,Mankey,40,80,35,35,45,70,305
57,Primeape,65,105,60,60,70,95,455
58,Growlithe,55,70,45,70,50,60,350
59,Arcanine,90,110,80,100,80,95,555
60,Poliwag,40,50,40,40,40,90,300
61,Poliwhirl,65,65,65,50,50,90,385
62,Poliwrath,90,95,95,70,90,70,510
63,Abra,25,20,15,105,55,90,310
64,Kadabra,40,35,30,120,70,105,400
65,Alakazam,55,50,45,135,95,120,500
66,Machop,70,80,50,35,35,35,305
67,Machoke,80,100,70,50,60,45,405
68,Machamp,90,130,80,65,85,55,505
69,Bellsprout,50,75,35,70,30,40,300
70,Weepinbell,65,90,50,85,45,55,390
71,Victreebel,80,105,65,100,70,70,490
72,Tentacool,40,40,35,50,100,70,335
73,Tentacruel,80,70,65,80,120,100,515
74,Geodude,40,80,100,30,30,20,300
75,Graveler,55,95,115,45,45,35,390
76,Golem,80,120,130,55,65,45,495
77,Ponyta,50,85,55,65,65,90,410
78,Rapidash,65,100,70,80,80,105,500
79,Slowpoke,90,65,65,40,40,15,315
80,Slowbro,95,75,110,100,80,30,490
81,Magnemite,25,35,70,95,55,45,325
82,Magneton,50,60,95,120,70,70,465
83,Farfetch'd,52,65,55,58,62,60,352
84,Doduo,35,85,45,35,35,75,310
85,Dodrio,60,110,70,60,60,100,460
86,Seel,65,45,55,45,70,45,325
87,Dewgong,90,70,80,70,95,70,475
88,Grimer,80,80,50,40,50,25,325
89,Muk,105,105,75,65,100,50,500
90,Shellder,30,65,100,45,25,40,305
91,Cloyster,50,95,180,85,45,70,525
92,Gastly,30,35,30,100,35,80,310
93,Haunter,45,50,45,115,55,95,405
94,Gengar,60,65,60,130,75,110,500
95,Onix,35,45,160,30,45,70,385
96,Drowzee,60,48,45,43,90,42,328
97,Hypno,85,73,70,73,115,67,483
98,Krabby,30,105,90,25,25,50,325
99,Kingler,55,130,115,50,50,75,475
100,Voltorb,40,30,50,55,55,100,330
101,Electrode,60,50,70,80,80,140,480
102,Exeggcute,60,40,80,60,45,40,325
103,Exeggutor,95,95,85,125,65,55,520
104,Cubone,50,50,95,40,50,35,320
105,Marowak,60,80,110,50,80,45,425
106,Hitmonlee,50,120,53,35,110,87,455
107,Hitmonchan,50,105,79,35,110,76,455
108,Lickitung,90,55,75,60,75,30,385
109,Koffing,40,65,95,60,45,35,340
110,Weezing,65,90,120,85,70,60,490
111,Rhyhorn,80,85,95,30,30,25,345
112,Rhydon,105,130,120,45,45,40,485
113,Chansey,255,10,10,75,135,55,540
114,Tangela,65,55,115,100,40,60,435
115,Kangaskhan,105,95,80,40,80,90,490
116,Horsea,30,40,70,70,25,60,295
117,Seadra,55,65,95,95,45,85,440
118,Goldeen,45,67,60,35,50,63,320
119,Seaking,80,92,65,65,80,68,450
120,Staryu,30,45,55,70,55,85,340
121,Starmie,60,75,85,100,85,115,520
122,Mr. Mime,40,45,65,100,120,90,460
123,Scyther,70,110,80,55,80,105,500
124,Jynx,65,50,35,115,95,95,455
125,Electabuzz,65,83,57,95,85,105,490
126,Magmar,65,95,57,100,85,93,495
127,Pinsir,65,125,100,55,70,85,500
128,Tauros,75,100,95,40,70,110,490
129,Magikarp,20,10,55,15,20,80,200
130,Gyarados,95,125,79,60,100,81,540
131,Lapras,130,85,80,85,95,60,535
132,Ditto,48,48,48,48,48,48,288
